Date,Temp,H_Pcnt,C_Pcnt,Temp_Feels,Precip,Radiation,Wind,Temp_avg,H_Pcnt_avg,C_Pcnt_avg,Temp_Feels_avg,Precip_avg,Radiation_avg,Wind_avg
2009-01-01 00:00:00,26.9,51.0,67.0,13.0,0.0,0.0,21.0,38.23,82.0,54.6,33.18,0.003,0.0,8.1
2009-01-01 01:00:00,25.2,54.0,35.0,11.2,0.0,0.0,20.0,38.26,82.6,51.8,32.7,0.007,0.0,8.7
2009-01-01 02:00:00,24.4,55.0,24.0,10.0,0.0,0.0,20.0,38.29,82.9,52.9,32.52,0.006,0.0,9.1
2009-01-01 03:00:00,23.8,55.0,18.0,9.4,0.0,0.0,20.0,38.34,83.1,54.9,32.67,0.007,0.0,9.2
2009-01-01 04:00:00,23.4,55.0,15.0,9.1,0.0,0.0,20.0,38.28,83.3,54.3,32.52,0.008,0.0,9.2
2009-01-01 05:00:00,23.3,55.0,14.0,9.1,0.0,0.0,18.0,38.2727,82.4545,49.0,32.4727,0.0045,0.0,9.1818
2009-01-01 06:00:00,25.0,55.0,39.0,12.1,0.0,0.0,16.0,38.9,85.5,57.1,33.57,0.005,0.0,8.3
2009-01-01 07:00:00,25.0,55.0,53.0,11.4,0.0,0.0,18.0,39.08,85.2,62.8,33.47,0.009,0.0,9.0
2009-01-01 08:00:00,24.6,55.0,61.0,10.8,0.0,0.0,18.0,39.31,85.1,65.4,33.76,0.009,0.0,9.0
2009-01-01 09:00:00,24.3,56.0,66.0,10.7,0.0,0.0,18.0,39.19,85.6,66.4,33.61,0.012,0.0,9.3
2009-01-01 10:00:00,24.0,56.0,69.0,10.5,0.0,0.0,17.0,38.93,86.2,65.6,32.92,0.012,0.0,9.4
2009-01-01 11:00:00,23.1,58.0,66.0,10.2,0.0,0.0,15.0,38.74,86.9,64.8,32.6,0.009,0.0,9.3
2009-01-01 12:00:00,23.4,55.0,4.0,13.2,0.0,0.0,10.0,38.84,87.9,53.6,34.08,0.009,0.0,7.0
2009-01-01 13:00:00,25.0,51.0,3.0,13.2,0.0,6.0,14.0,41.44,83.5,53.5,36.55,0.011,4.5,8.0
2009-01-01 14:00:00,26.4,47.0,2.0,15.0,0.0,112.0,14.0,44.0,78.0,56.0,39.08,0.005,78.4,9.5
2009-01-01 15:00:00,28.1,43.0,2.0,17.8,0.0,268.0,13.0,46.07,72.3,55.9,41.25,0.007,188.1,10.4
2009-01-01 16:00:00,29.5,41.0,1.0,20.4,0.0,394.0,10.0,47.12,69.3,55.4,42.47,0.007,266.0,10.8
