Date,Temp,H_Pcnt,C_Pcnt,Temp_Feels,Precip,Radiation,Wind,Temp_avg,H_Pcnt_avg,C_Pcnt_avg,Temp_Feels_avg,Precip_avg,Radiation_avg,Wind_avg
2009-05-01 00:00:00,57.0,89,100,55.6,0.0,0,7,59.32000000000001,73.5,75.2,59.23,0.0,0.0,6.9
2009-05-01 01:00:00,56.5,88,92,54.5,0.0,0,8,58.330000000000005,73.2,71.7,57.3,0.0,0.0,7.5
2009-05-01 02:00:00,56.0,88,88,53.8,0.0,0,9,56.9,74.4,67.9,55.53000000000001,0.0,0.0,7.8
2009-05-01 03:00:00,56.8,86,88,54.5,0.0,0,10,56.25999999999999,74.2,66.1,54.629999999999995,0.0,0.0,8.5
2009-05-01 04:00:00,57.1,85,90,54.7,0.0,0,10,55.46,74.1,64.6,53.56999999999999,0.0,0.0,8.5
2009-05-01 05:00:00,57.7,86,91,55.4,0.0,0,10,54.589999999999996,76.3,62.7,52.519999999999996,0.0,0.0,8.2
2009-05-01 06:00:00,57.8,93,97,56.0,0.0,0,9,54.15,81.9,55.9,52.330000000000005,0.0,0.0,7.5
2009-05-01 07:00:00,58.4,95,98,56.7,0.03,0,9,54.64,81.3,60.0,52.58,0.006,0.0,7.9
2009-05-01 08:00:00,59.6,95,99,58.1,0.01,0,9,54.7,81.5,63.0,52.57000000000001,0.004,0.0,8.2
2009-05-01 09:00:00,61.1,94,97,59.5,0.0,0,12,54.30999999999999,81.9,63.2,52.11999999999999,0.003,0.0,8.4
2009-05-01 10:00:00,62.5,93,95,60.9,0.0,0,13,54.86,81.5,63.2,52.81,0.003,0.0,8.8
2009-05-01 11:00:00,64.8,89,92,63.6,0.0,10,15,57.15,77.5,63.3,55.44,0.001,14.6,9.1
2009-05-01 12:00:00,65.7,85,78,64.8,0.0,113,15,60.15,72.1,64.9,58.79,0.001,115.1,9.4
2009-05-01 13:00:00,65.7,86,88,65.0,0.01,251,14,62.95000000000001,67.0,61.0,62.260000000000005,0.002,264.4,9.8
2009-05-01 14:00:00,67.7,81,91,67.4,0.0,125,15,65.16,63.1,58.7,65.41999999999999,0.004,416.7,10.2
2009-05-01 15:00:00,69.7,76,91,69.7,0.0,226,16,67.2,59.2,57.8,67.39000000000001,0.002,529.6,10.3
2009-05-01 16:00:00,69.1,78,92,69.0,0.03,292,16,68.72,56.3,57.3,69.35,0.003,600.9,10.0
2009-05-01 17:00:00,66.4,87,94,65.6,0.08,233,15,69.60000000000001,55.5,56.9,70.06000000000002,0.008,643.8,9.7
2009-05-01 18:00:00,65.9,92,100,65.5,0.08,103,12,70.16,57.0,52.6,70.6,0.008,632.6,8.3
2009-05-01 19:00:00,66.1,90,100,65.7,0.06,63,12,69.98999999999998,57.8,50.3,70.46000000000001,0.009,578.4,9.1
2009-05-01 20:00:00,68.8,84,96,68.8,0.0,104,12,69.69,59.3,49.1,70.32000000000001,0.0,511.8,9.8
2009-05-01 21:00:00,70.9,80,85,75.9,0.0,241,10,68.49999999999999,63.2,48.1,69.93999999999998,0.0,412.7,9.0
2009-05-01 22:00:00,70.2,82,72,75.7,0.0,203,8,65.81,69.6,48.3,66.86,0.0,273.7,8.3
2009-05-01 23:00:00,67.5,85,62,67.5,0.0,100,8,62.33,73.0,48.8,61.510000000000005,0.0,129.3,8.3
2009-05-02 00:00:00,69.0,84,100,69.0,0.0,0,9,61.86,75.6,65.8,61.13000000000001,0.0,0.0,8.0
2009-05-02 01:00:00,67.9,82,100,67.9,0.0,0,10,60.64000000000001,77.8,66.0,59.69,0.001,0.0,8.5
2009-05-02 02:00:00,66.7,81,100,66.7,0.0,0,10,59.54999999999999,80.0,66.1,58.620000000000005,0.001,0.0,8.2
2009-05-02 03:00:00,65.9,81,100,65.8,0.0,0,9,58.95000000000001,80.7,64.7,58.02,0.003,0.0,8.0
2009-05-02 04:00:00,65.0,82,98,64.8,0.0,0,9,58.290000000000006,81.2,62.8,57.339999999999996,0.003,0.0,7.9
2009-05-02 05:00:00,63.9,86,97,63.5,0.01,0,9,58.010000000000005,80.6,61.7,57.080000000000005,0.002,0.0,8.1
2009-05-02 06:00:00,64.1,92,96,63.8,0.01,0,8,57.13000000000001,86.5,63.0,56.510000000000005,0.002,0.0,6.9
2009-05-02 07:00:00,64.5,92,96,64.3,0.06,0,8,57.21,85.5,65.4,56.510000000000005,0.008,0.0,7.0
2009-05-02 08:00:00,64.3,94,97,64.3,0.02,0,7,57.43000000000001,84.4,68.1,56.67999999999999,0.003,0.0,7.3
2009-05-02 09:00:00,63.5,95,96,63.5,0.01,0,6,57.64,83.8,69.7,56.79999999999999,0.001,0.0,7.4
